,n,mu,partition,acc_measure,acc_value
,1000,0.1,FastConsensus(Louvain),AMI,0.726415179
,1000,0.2,FastConsensus(Louvain),AMI,0.811062025
,1000,0.3,FastConsensus(Louvain),AMI,0.659563235
,1000,0.4,FastConsensus(Louvain),AMI,0.41505942
,1000,0.5,FastConsensus(Louvain),AMI,0.227311004
,1000,0.6,FastConsensus(Louvain),AMI,0.095783035
,1000,0.7,FastConsensus(Louvain),AMI,0.039937729
,1000,0.8,FastConsensus(Louvain),AMI,-0.002779048
,1000,0.1,ECG,AMI,0.998497911
,1000,0.2,ECG,AMI,0.994202344
,1000,0.3,ECG,AMI,0.942406843
,1000,0.4,ECG,AMI,0.752610828
,1000,0.5,ECG,AMI,0.398116455
,1000,0.6,ECG,AMI,0.120236647
,1000,0.7,ECG,AMI,0.047700986
,1000,0.8,ECG,AMI,0.005306254
,1000,0.9,ECG,AMI,-0.000970813
,100000,0.1,ECG,AMI,0.989069225
,100000,0.2,ECG,AMI,0.984694693
,100000,0.3,ECG,AMI,0.958498465
,100000,0.4,ECG,AMI,0.855522808
,100000,0.5,ECG,AMI,0.528681659
